Code,Source,Name,Description,Version
T74.11XA,ICD 10 - CM,"Adult physical abuse by nonspouse or nonpartner, Confirmed Initial encounter",,
T74.11XD,ICD 10 - CM,"Adult physical abuse by nonspouse or nonpartner, Confirmed Subsequent encounter",,
T76.11XA,ICD 10 - CM,"Adult physical abuse by nonspouse or nonpartner, Suspected Initial encounter",,
T76.11XD,ICD 10 - CM,"Adult physical abuse by nonspouse or nonpartner, Suspected Subsequent encounter",,
T74.31XA,ICD 10 - CM,"Adult psychological abuse by nonspouse or nonpartner, Confirmed Initial encounter",,
T74.31XD,ICD 10 - CM,"Adult psychological abuse by nonspouse or nonpartner, Confirmed Subsequent encounter",,
T76.31XA,ICD 10 - CM,"Adult psychological abuse by nonspouse or nonpartner, Suspected Initial encounter",,
T76.31XD,ICD 10 - CM,"Adult psychological abuse by nonspouse or nonpartner, Suspected Subsequent encounter",,
T74.21XA,ICD 10 - CM,"Adult sexual abuse by nonspouse or nonpartner, Confirmed Initial encounter",,
T74.21XD,ICD 10 - CM,"Adult sexual abuse by nonspouse or nonpartner, Confirmed Subsequent encounter",,
T76.21XA,ICD 10 - CM,"Adult sexual abuse by nonspouse or nonpartner, Suspected Initial encounter",,
T76.21XD,ICD 10 - CM,"Adult sexual abuse by nonspouse or nonpartner, Suspected Subsequent encounter",,
F40.00,ICD 10 - CM,Agoraphobia,,
F10.180,ICD 10 - CM,Alcohol-induced anxiety disorder With mild use disorder,,
F10.280,ICD 10 - CM,Alcohol-induced anxiety disorder With moderate or severe use disorder,,
F10.980,ICD 10 - CM,Alcohol-induced anxiety disorder Without use disorder,,
F10.14,ICD 10 - CM,Alcohol-induced bipolar and related disorder With mild use disorder,,
F10.24,ICD 10 - CM,Alcohol-induced bipolar and related disorder With moderate or severe use disorder,,
F10.94,ICD 10 - CM,Alcohol-induced bipolar and related disorder Without use disorder,,
F10.14,ICD 10 - CM,Alcohol-induced depressive disorder With mild use disorder,,
F10.24,ICD 10 - CM,Alcohol-induced depressive disorder With moderate or severe use disorder,,
F10.94,ICD 10 - CM,Alcohol-induced depressive disorder Without use disorder,,
F10.26,ICD 10 - CM,"Alcohol-induced major neurocognitive disorder, Amnestic confabulatory type With moderate or severe use disorder",,
F10.96,ICD 10 - CM,"Alcohol-induced major neurocognitive disorder, Amnestic confabulatory type Without use disorder",,
F10.27,ICD 10 - CM,"Alcohol-induced major neurocognitive disorder, Nonamnestic confabulatory type With moderate or severe use disorder",,
F10.97,ICD 10 - CM,"Alcohol-induced major neurocognitive disorder, Nonamnestic confabulatory type Without use disorder",,
F10.288,ICD 10 - CM,Alcohol-induced mild neurocognitive disorder With moderate or severe use disorder,,
F10.988,ICD 10 - CM,Alcohol-induced mild neurocognitive disorder Without use disorder,,
F10.159,ICD 10 - CM,Alcohol-induced psychotic disorder With mild use disorder,,
F10.259,ICD 10 - CM,Alcohol-induced psychotic disorder With moderate or severe use disorder,,
F10.959,ICD 10 - CM,Alcohol-induced psychotic disorder Without use disorder,,
F10.181,ICD 10 - CM,Alcohol-induced sexual dysfunction With mild use disorder,,
F10.281,ICD 10 - CM,Alcohol-induced sexual dysfunction With moderate or severe use disorder,,
F10.981,ICD 10 - CM,Alcohol-induced sexual dysfunction Without use disorder,,
F10.182,ICD 10 - CM,Alcohol-induced sleep disorder With mild use disorder,,
F10.282,ICD 10 - CM,Alcohol-induced sleep disorder With moderate or severe use disorder,,
F10.982,ICD 10 - CM,Alcohol-induced sleep disorder Without use disorder,,
F10.129,ICD 10 - CM,Alcohol intoxication With mild use disorder,,
F10.229,ICD 10 - CM,Alcohol intoxication With moderate or severe use disorder,,
F10.929,ICD 10 - CM,Alcohol intoxication Without use disorder,,
F10.121,ICD 10 - CM,Alcohol intoxication delirium With mild use disorder,,
F10.221,ICD 10 - CM,Alcohol intoxication delirium With moderate or severe use disorder,,
F10.921,ICD 10 - CM,Alcohol intoxication delirium Without use disorder,,
F10.10,ICD 10 - CM,Alcohol use disorder Mild,,
F10.20,ICD 10 - CM,Alcohol use disorder Moderate,,
F10.20,ICD 10 - CM,Alcohol use disorder Severe,,
F10.232,ICD 10 - CM,Alcohol withdrawal With perceptual disturbances,,
F10.239,ICD 10 - CM,Alcohol withdrawal Without perceptual disturbances,,
F10.231,ICD 10 - CM,Alcohol withdrawal delirium,,
F1S.180,ICD 10 - CM,Amphetamine (or other stimulant)-induced anxiety disorder With mild use disorder,,
F1S.280,ICD 10 - CM,Amphetamine (or other stimulant)-induced anxiety disorder With moderate or severe use disorder,,
F1S.980,ICD 10 - CM,Amphetamine (or other stimulant)-induced anxiety disorder Without use disorder,,
F1S.14,ICD 10 - CM,Amphetamine (or other stimulant)-induced bipolar and related disorder With mild use disorder,,
F1S.24,ICD 10 - CM,Amphetamine (or other stimulant)-induced bipolar and related disorder With moderate or severe use disorder,,
F1S.94,ICD 10 - CM,Amphetamine (or other stimulant)-induced bipolar and related disorder Without use disorder,,
F1S.921,ICD 10 - CM,Amphetamine (or other stimulant)-induced delirium,,
F1S.14,ICD 10 - CM,Amphetamine (or other stimulant)-induced depressive disorder With mild use disorder,,
F1S.24,ICD 10 - CM,Amphetamine (or other stimulant)-induced depressive disorder With moderate or severe use disorder,,
F1S.94,ICD 10 - CM,Amphetamine (or other stimulant)-induced depressive disorder Without use disorder,,
F1S.188,ICD 10 - CM,Amphetamine (or other stimulant)-induced obsessive-compulsive and related disorder With mild use disorder,,
F1S.288,ICD 10 - CM,Amphetamine (or other stimulant)-induced obsessive-compulsive and related disorder With moderate or severe use disorder,,
F1S.988,ICD 10 - CM,Amphetamine (or other stimulant)-induced obsessive-compulsive and related disorder Without use disorder,,
F1S.159,ICD 10 - CM,Amphetamine (or other stimulant)-induced psychotic disorder With mild use disorder,,
F1S.259,ICD 10 - CM,Amphetamine (or other stimulant)-induced psychotic disorder With moderate or severe use disorder,,
F1S.959,ICD 10 - CM,Amphetamine (or other stimulant)-induced psychotic disorder Without use disorder,,
F1S.181,ICD 10 - CM,Amphetamine (or other stimulant)-induced sexual dysfunction With mild use disorder,,
F1S.281,ICD 10 - CM,Amphetamine (or other stimulant)-induced sexual dysfunction With moderate or severe use disorder,,
F1S.981,ICD 10 - CM,Amphetamine (or other stimulant)-induced sexual dysfunction Without use disorder,,
F1S.182,ICD 10 - CM,Amphetamine (or other stimulant)-induced sleep disorder With mild use disorder,,
F1S.282,ICD 10 - CM,Amphetamine (or other stimulant)-induced sleep disorder With moderate or severe use disorder,,
F1S.982,ICD 10 - CM,Amphetamine (or other stimulant)-induced sleep disorder Without use disorder,,
F1S.122,ICD 10 - CM,"Amphetamine or other stimulant intoxication, With perceptual disturbances With mild use disorder",,
F1S.222,ICD 10 - CM,"Amphetamine or other stimulant intoxication, With perceptual disturbances With moderate or severe use disorder",,
F1S.922,ICD 10 - CM,"Amphetamine or other stimulant intoxication, With perceptual disturbances Without use disorder",,
F15.129,ICD 10 - CM,"Amphetamine or other stimulant intoxication, Without perceptual disturbances With mild use disorder",,
F15.229,ICD 10 - CM,"Amphetamine or other stimulant intoxication, Without perceptual disturbances With moderate or severe use disorder",,
